date,cnt
8/26/2017,174
10/16/2020,363
1/18/2020,226
1/25/2021,323
3/25/2015,94
8/4/2013,118
10/11/2019,208
8/29/2015,103
9/24/2016,111
10/26/2019,202
12/29/2018,154
4/4/2013,131
7/30/2013,102
5/24/2022,606
8/20/2010,94
6/24/2011,119
10/30/2022,2177
11/17/2014,115
12/1/2020,319
7/1/2012,137
4/22/2021,343
10/2/2022,1170
6/11/2022,690
2/9/2021,383
10/7/2013,107
10/13/2021,452
10/9/2022,1861
4/22/2020,317
5/21/2010,137
7/17/2022,673
12/2/2015,139
6/25/2010,91
7/19/2014,112
6/17/2017,135
8/25/2021,476
10/12/2022,2173
12/26/2018,189
6/18/2012,121
8/10/2022,818
3/25/2020,380
2/12/2020,240
1/29/2021,388
11/4/2011,127
6/4/2013,129
5/29/2021,304
5/8/2013,127
11/22/2021,452
7/6/2022,737
5/19/2011,126
10/1/2015,108
5/10/2021,490
7/22/2019,193
3/21/2011,151
1/25/2016,126
8/30/2021,438
10/13/2019,257
2/19/2020,220
4/4/2020,310
12/10/2011,115
9/29/2014,109
6/9/2009,118
5/9/2014,110
3/10/2010,95
9/7/2011,117
2/6/2015,112
7/20/2022,711
12/29/2013,98
7/29/2021,385
12/14/2018,199
6/26/2012,106
6/14/2015,127
6/25/2015,105
8/18/2022,807
9/1/2021,467
10/11/2022,1315
11/7/2013,111
3/10/2013,89
7/23/2014,119
5/8/2022,583
3/22/2011,135
2/23/2018,122
2/26/2022,666
10/21/2022,1287
1/24/2019,173
6/4/2022,577
9/12/2022,966
9/3/2011,115
1/28/2013,112
8/27/2021,457
8/19/2012,108
9/6/2019,161
8/11/2015,100
5/26/2019,181
11/25/2018,165
9/5/2013,114
9/23/2022,1538
8/11/2019,157
11/10/2020,339
1/14/2019,155
5/13/2022,610
9/26/2019,222
11/8/2021,469
9/21/2011,123
7/11/2017,129
12/16/2011,102
9/4/2018,142
1/5/2016,104
4/29/2022,785
9/27/2022,1637
7/1/2021,338
12/10/2012,104
7/20/2012,128
10/15/2021,387
6/12/2017,136
1/28/2021,358
4/11/2010,92
3/26/2013,104
5/28/2018,147
4/7/2016,128
7/21/2017,160
8/19/2021,454
12/1/2017,156
1/8/2015,135
4/19/2020,343
11/15/2016,115
9/9/2014,102
8/28/2011,136
8/26/2021,435
7/15/2013,128
7/10/2022,669
1/5/2020,300
11/2/2012,115
12/16/2017,121
7/4/2012,108
7/3/2018,151
2/22/2016,117
9/3/2009,108
11/19/2021,424
8/2/2020,242
3/2/2022,648
5/16/2019,153
5/24/2016,87
9/9/2020,332
9/14/2009,98
11/28/2007,3
1/12/2022,518
1/3/2011,91
8/12/2017,115
6/16/2021,306
3/7/2022,597
5/14/2022,548
2/6/2020,182
6/5/2019,185
2/11/2022,578
11/12/2019,212
4/27/2022,1315
11/8/2013,98
8/11/2022,867
8/29/2022,894
11/13/2020,280
2/17/2022,615
2/4/2022,587
5/4/2021,346
6/21/2012,103
9/8/2022,1210
9/11/2022,1000
6/15/2022,623
11/28/2018,138
2/12/2019,197
12/17/2018,168
2/13/2019,156
2/17/2020,215
2/1/2013,117
4/17/2022,609
11/27/2019,184
